title,href,article
"이억원 금융위원장, SC그룹 회장 면담…혁신기업 지원 강화 요청",https://n.news.naver.com/mnews/article/003/0013820886?sid=101,"[서울=뉴시스] 이억원 금융위원장이 13일 오후 정부서울청사에서 영국 스탠다드차타드그룹(SC그룹) 회장 빌 윈터스와 면담했다. (사진=금융위원회) photo@newsis.com *재판매 및 DB 금지[서울=뉴시스] 최홍 기자 = 이억원 금융위원장이 13일 오후 정부서울청사에서 영국 스탠다드차타드그룹(SC그룹) 회장 빌 윈터스와 면담했다.이 위원장과 윈터스 회장은 중동 지역의 지정학적 충돌로 촉발된 글로벌 위기 상황을 논의했다.윈터스 회장은 중동사태 장기화 가능성과 원유 수급 변동 등 불확실성을 고려해 정부 차원의 종합적인 점검과 대응이 중요한 시점이라고 말했다.이 위원장은 '중동상황 관련 관계기관 합동 금융시장반'을 구성해 24시간 모니터링 체계를 운영 중임을 강조했다.특히 '100조원+α 시장안정프로그램'을 가동하는 등 금융시장 안정과 실물경제 영향 최소화를 위해 만전을 기하고 있다고 설명했다.빌 윈터스 회장은 한국을 SC그룹 글로벌 사업의 핵심 국가로 꼽으며, 한국 증시의 성장세와 발전 가능성을 높이 평가한다고 밝혔다. 그러면서 한국 시장에 관심과 투자를 아끼지 않겠다고 덧붙였다.이 위원장은 생산적 금융 대전환 등 정부가 추진 중인 금융정책 방향성을 공유하며 SC제일은행을 통해 국내 혁신기업에 대한 지원을 강화해달라고 요청했다. 이어 SC그룹 차원에서도 지속적인 지지와 관심을 가져줄 것을 당부했다．"
금융시장 변동성 확대…무차입 '불법 공매도' 차단한다,https://n.news.naver.com/mnews/article/417/0001134066?sid=101,"금감원, 주요 증권사와 긴급 간담회…시장 교란 방지·신뢰도 유지 총력



금감원이 불법 공매도로 인한 시장 교란을 방지하고 공매도 제도에 대한 시장 신뢰를 유지하기 위해 주요 증권사와 긴급 간담회를 열었다. 사진은 서울 여의도 금감원. /사진=뉴시스 금융감독원은 최근 중동상황으로 금융시장의 변동성이 확대되는 가운데 무차입 공매도 등 불법 공매도로 인한 시장 교란을 방지하고 공매도 제도에 대한 시장 신뢰를 유지하기 위해 주요 증권사를 대상으로 긴급 간담회를 개최했다고 13일 밝혔다.이날 간담회는 이승우 금감원 공시·조사부문 부원장보 주재로 NSDS(공매도중앙점검시스템) 서울 여의도 본원에서 열렸다. 이 부원장보는 공매도 관련 내부통제 운영 현황 점검과 관리 강화를 당부했으며 공매도 주요 위반 사례 및 제도 개선 사항 등도 공유했다.이승우 부원장보는 매도 가능 잔액 산정 프로세스 및 잔고 초과 매도주문 차단 기능 등 무차입 공매도 방지를 위한 주문 단계 관리를 철저히 할 필요가 있다고 짚었다.그는 ""최근 발생한 무차입 공매도 중 다수가 단순 실수나 착오 등에 의한 것인 만큼 내부통제가 제대로 작동하도록 준법 감시 기능을 점검해야 한다""며 ""대량의 데이터를 일시에 처리하는 공매도 전산시스템 특성상 시스템 장애로 인해 대규모 공매도 위반이 발생할 수 있으므로 통제·관리가 강화돼야 한다""고 거듭 주문했다.이밖에 이 부원장보는 공매도를 이용해 주가에 부당한 영향을 미치거나 시장을 교란하는 행위에 대해 감시를 강화하고 이상 징후 발견 시 금감원에 적극 제보하는 등 시장 질서 확립을 위한 협조도 당부했다.금감원은 공매도 동향을 지속해서 점검하고 시장 교란 공매도에 대해서는 신속히 조사해 엄정하게 조치할 계획이다. 공매도 관리체계가 현장에서 안정적으로 운영될 수 있도록 업계와도 소통을 지속할 방침이다."
"KB금융, 한국광고학회 '제33회 올해의 광고상' 대상 수상",https://n.news.naver.com/mnews/article/092/0002414250?sid=105,"KB국민행복 프로젝트, 소방관·경찰관에게 감사와 존중 의미KB금융그룹이 12일 한국광고학회 주관 제33회 올해의 광고상에서 'KB국민행복 프로젝트'로 인쇄광고 부문 대상을 수상했다고 13일 밝혔다.'KB국민행복 프로젝트'는 대한민국의 행복한 일상을 위해 보이지 않는 곳에서 묵묵히 헌신하는 소방관과 경찰관에게 감사와 존중의 마음을 전하고자 기획한 캠페인이다.KB금융은 지난 2015년 몰래카메라 형식으로 가족의 소중함을 일깨우며 전국민의 눈물샘을 자극했던 '하늘 같은 든든함, 아버지'편을 통해 온라인·모바일 부문 최우수상을 수상한 바 있다.



KB금융그룹이 12일 한국광고학회 주관 제33회 올해의 광고상에서 'KB국민행복 프로젝트'로 인쇄광고 부문 대상을 수상했다고 13일 밝혔다. (사진=국민은행)10여 년 전 '아버지'라는 이름으로 가족의 든든함을 이야기했다면, 이제는 'KB국민행복 프로젝트'로 사회 곳곳에서 공동체를 지탱하는 이들의 헌신을 조명했다.KB금융 관계자는 “이번 수상은 국민과 함께 성장하는 금융이라는 철학 아래, KB금융이 지향해 온 금융의 본질이 '국민의 행복'에 닿아 있음을 다시 한번 확인한 뜻깊은 성과”라며, “과거 '아버지'편이 주었던 따뜻한 감동에 이어, 앞으로도 KB금융은 우리 사회에 따뜻한 변화를 만들어가는 희망과 응원의 메시지를 진정성있게 전해 나가겠다”고 말했다."
"한투금융그룹, MS 손잡고 초기기업 '성장 사다리' 구축",https://n.news.naver.com/mnews/article/421/0008824574?sid=101,"'글로벌 스케일 업' 워크숍 개최…창업기업 성장 지원



12일 한국투자금융그룹이 개최한 '글로벌 스케일 업' 워크숍에서 스미타 로이(Smita Roy) MS 아시아 디지털 스타트업 및 ISV 부문 세일즈 디렉터가 강연하고 있다. (한국투자증권 제공)(서울=뉴스1) 박승희 기자 = 한국금융지주(071050)는 자회사 한국투자액셀러레이터(한투AC)와 한국투자파트너스가 글로벌 IT기업 마이크로소프트(Microsoft)와 손잡고 초기 창업 기업들의 해외 진출을 돕기 위한 '시너지 클럽' 워크숍을 진행했다고 13일 밝혔다.시너지 클럽은 한투AC가 운영하는 포트폴리오사 대상 파트너십 프로그램이다. 그간 앤트로픽(Anthropic), 링크드인(LinkedIn) 등 유수의 글로벌 기업들과 협력하며 유망 스타트업들에 실질적인 성장 기회와 네트워킹 자리를 마련해 왔다.특히 이번 행사는 그룹 계열사인 한투파트너스와 공동 주관을 통해 액셀러레이터(VC)부터 벤처캐피탈(VC)까지 아우르는 연속성 있는 투자 및 성장 지원 체계를 구축했다.전날 서울 강남구 한투AC 사옥에서 열린 행사에는 퓨리오사AI, 바이오디자인랩, 에너자이 등 전도유망한 스타트업 40여 곳이 참여했다. 마이크로소프트의 스미타 로이(Smita Roy) 아시아 디지털 스타트업 및 ISV 부문 세일즈 디렉터를 비롯해 에쓰핀테크놀로지 김석영 본부장, 한국투자파트너스 성동원 팀장 등이 연사로 나서 아시아 기업들의 글로벌 스케일업 전략과 마이크로소프트와의 협력을 통한 성공 사례 등을 공유했다.워크숍에 참여한 기업에는 ‘마이크로소프트 파운더스 허브(Microsoft Founders Hub)’ 참여 기회가 제공된다. 이를 통해 클라우드 플랫폼 ‘애저(Azure)’를 포함한 기술 및 비즈니스 인프라 구축 멘토링을 지원받게 되며, 향후 글로벌 공동 영업 및 네트워크 확장 관련한 도움도 받을 수 있다.한편, 한투AC는 금융을 통한 사회공헌을 목표로 설립된 전문 액셀러레이터다. 국내 벤처 투자 시장의 위축 속에서도 초기 창업 기업에 대한 투자를 매년 확대하며 잠재력 높은 기업들이 지속 가능한 성장 동력을 확보하도록 돕고 있다. 한국투자증권 등 그룹 계열사도 '한투 바른동행 셰르파 펀드' 출자를 통해 이러한 사회적 가치 창출에 동참하고 있다.한투AC 관계자는 “글로벌 리딩 기업과의 협력이 우리 스타트업들이 세계 무대로 뻗어 나가는 데 실질적인 발판이 되길 바란다”며 “앞으로도 그룹 계열사 간 시너지를 극대화하며 초기 기업을 위한 성장 단계별 맞춤 지원을 적극 확대해 가겠다”라고 말했다."
"BNK금융, 창립 15주년 맞아 전통시장 상생 캠페인",https://n.news.naver.com/mnews/article/079/0004124528?sid=102,"BNK금융그룹 제공BNK금융그룹이 창립 15주년을 맞아 부산 전통시장을 찾아 골목상권 지원 활동을 펼쳤다. BNK금융그룹은 13일 부산 본점 인근 범천중앙시장과 철뚝시장 일대에서 지역경제 활성화를 위한 'BNK 골목동행 상생금융 캠페인'을 진행했다.이날 행사에는 빈대인 회장을 비롯해 주요 자회사 대표와 경영진 등 30여명이 참여해 시장 상인들과 만나 현장의 목소리를 듣고 과일과 육류, 생활용품 등을 직접 구매했다. 시장에서 약 1500만원 규모로 구입한 물품은 초록우산 어린이재단을 통해 지역 아동양육시설에 전달된다.BNK금융그룹은 또 전통시장 화재 예방을 위해 소화기 100개와 콘센트용 소화패치 200개를 상인들에게 전달했다. 노후 점포가 많은 전통시장의 화재 위험을 줄이기 위한 조치다. 본점 임직원과 협력사 직원 200여명은 구내식당 대신 전통시장 상품권을 사용해 시장에서 식사와 장보기를 하며 골목상권 소비 활성화에 힘을 보탰다.빈대인 BNK금융그룹 회장은 ""고객과 지역사회의 신뢰 속에서 성장해 온 만큼 어려움을 겪는 소상공인과 골목상권과 함께하는 금융이 되겠다""며 ""앞으로도 지역 상생 활동을 꾸준히 이어가겠다""고 말했다. BNK금융그룹은 2013년부터 임직원 전통시장 상품권 구매 캠페인을 이어오고 있다. 지금까지 약 200억원 규모로 전통시장 소비 활성화에 기여하고 있다고 전했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
"iM뱅크, 대구시 등과 '대구형 상생 금융' 업무협약",https://n.news.naver.com/mnews/article/001/0015957973?sid=101,"(대구=연합뉴스) 한무선 기자 = iM뱅크는 전통시장 및 골목상권 소상공인을 위해 대구시 등과 '대구형 다(多) 함께 상생 금융 업무협약'을 했다고 13일 밝혔다.



'대구형 상생 금융' 업무협약[iM뱅크 제공. 재판매 및 DB 금지]    협약에는 iM뱅크와 대구시 외에도 대구경북지방중소벤처기업청, 소상공인시장진흥공단 대구경북지역본부, 대구신용보증재단, 대구시상인연합회가 참여했다.    협약에 따라 대구시가 소상공인시장진흥공단 정책자금에 대해서도 1년간 2.0%포인트의 이차 보전을 지원하기로 해 지역 소상공인들이 1년간 1.56% 수준의 초저금리 보증부 대출을 이용할 수 있게 됐다.    대구지역 전통시장과 골목형 상점가에 있는 온누리상품권 가맹 소기업·소상공인이 대구신용보증재단의 신용보증을 신청하면 지원 대상이 된다.    대출을 이용하려면 소상공인시장진흥공단의 융자 추천과 대구신보의 보증 승인을 받은 후 iM뱅크 지정 영업점을 방문하면 된다.    이번 협약과 관련해 iM뱅크는 초저금리 보증부 대출의 재원으로 50억원을 특별출연할 예정이다.     mshan@yna.co.kr"
"삼성화재, 지에이코리아와 '금융소비자 보호' 업무협약",https://n.news.naver.com/mnews/article/003/0013820917?sid=101,"보험 모집 건전성 높이고 소비자보호 강화



[서울=뉴시스] 지난 9일 서초구 삼성화재 본사에서 삼성화재 마켓리딩본부 원동주 부사장(좌측 일곱번째), 지에이코리아 변광식 사장(좌측 여덟번째) 및 관계자가 '금융소비자 보호를 위한 업무협약(MOU)'을 체결하고 있다. (사진=삼성화재 제공) 2026.03.13. photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]권안나 기자 = 삼성화재는 법인보험대리점(GA) 지에이코리아와 '금융소비자 보호 강화를 위한 업무협약(MOU)'을 체결했다고 13일 밝혔다. 이번 협약은 보험사와 GA간 협력을 통해 보험 모집과정의 건전성과 투명성을 높이고, 금융소비자보호 체계를 강화하기 위해 마련됐다.2009년 설립된 지에이코리아는 약 1만7000명의 설계사가 활동하고 있는 대형 법인보험대리점이다.지난 9일 서초구 삼성화재 본사에서 열린 협약식에는 삼성화재 마켓리딩본부 원동주 부사장과 지에이코리아 변광식 사장 등이 참석해 금융소비자보호 강화를 위한 협력 방안을 논의했다.두 회사는 이번 협약으로 ▲위∙수탁 업무 관련 리스크 예방을 위한 내부통제 강화 및 자율점검 ▲금융소비자 보호를 위한 민원 예방 및 처리 ▲개인정보보호 및 관리 체계 고도화 등에 협력하기로 했다.양사는 금융소비자보호를 위해 필요하다고 합의하는 업무에 대해서도 협력을 이어갈 계획이다.원동주 삼성화재 부사장은 ""보험사와 GA간 지속 협력을 통해 금융소비자보호 체계를 지속적으로 강화해 나갈 필요가 있다""라며 ""앞으로도 GA업계와 건전한 보험 영업환경 조성에 노력하겠다""고 말했다."
"야놀자-씨티, 여행 특화 결제·정산 체계 구축 '맞손'",https://n.news.naver.com/mnews/article/003/0013819682?sid=105,"API 기반 자동 정산, AI 리스크 관리 등 디지털 전환 가속이수진 총괄대표 ""여행 산업 DX, 결제 혁신 선도해 나갈 것""



[서울=뉴시스] 야놀자는 지난 11일부터 13일까지 중국 남부 광둥성 선전 만다린 오리엔탈 호텔에서 열린 '씨티 아시아 디지털 리더 서밋 2026'에서 씨티와 여행 산업 결제 혁신을 위한 글로벌 협력을 강화하기로 했다고 밝혔다. 지난 12일 진행한 '여행 산업 결제 혁신을 위한 글로벌 협력 세레모니'에서 (왼쪽부터) 마크 루엣 씨티 일본·북아시아·호주 클러스터 및 뱅킹 부문 총괄, 이수진 야놀자 그룹 총괄 대표, 군잔 칼라 씨티 일본·북아시아·호주 및 남아시아 지역 커머셜뱅킹 총괄, 이준영 야놀자 엔터프라이즈 솔루션 부문 대표가 기념 촬영을 하고 있다. 2026.03.13. (사진=야놀자 제공) *재판매 및 DB 금지[서울=뉴시스]윤정민 기자 = 야놀자는 지난 11일부터 13일까지 중국 남부 광둥성 선전 만다린 오리엔탈 호텔에서 열린 '씨티 아시아 디지털 리더 서밋 2026'에서 씨티와 여행 산업 결제 혁신을 위한 글로벌 협력을 강화하기로 했다고 밝혔다.야놀자는 지난 2021년부터 이어온 한국씨티은행과의 파트너십을 씨티의 전 세계 네트워크로 확장했다. 양사는 글로벌 여행 산업에 최적화된 차세대 통합 결제·정산 체계 구축을 위해 협력할 방침이다.양사는 야놀자가 보유한 방대한 트래블 인프라와 솔루션 기술력을 씨티의 글로벌 금융 네트워크와 결합한다. 특히 ▲글로벌 B2B 정산의 효율성 및 투명성 제고 ▲API 기반 자동 정산·결제 시스템 연동 ▲AI 기반 금융 리스크 관리 ▲글로벌 자금 관리 및 결제 인프라 확대 등 4대 핵심 과제를 중심으로 차세대 결제 체계를 구축할 방침이다. 군잔 칼라 씨티 일본·북아시아·호주 및 남아시아 지역 커머셜뱅킹 총괄은 ""기업들의 글로벌 확장이 여러 지역으로 빠르게 다변화되는 가운데, 새로운 시장에 진출하는 고객들이 일관된 운영 체계를 유지하는 것이 더욱 중요해지고 있다""며 ""이번 협력은 씨티가 전 세계 중견 기업들의 글로벌 성장 전략을 어떻게 지원하고, 국제적 성장의 안정성과 속도 모두를 지원하는 통합된 글로벌 결제 인프라의 중요성을 잘 나타낸 핵심 사례""라고 말했다.이수진 야놀자 그룹 총괄대표는 ""씨티와의 협력은 글로벌 여행 산업에 특화된 차세대 결제 인프라를 구축하기 위한 중요한 전략적 이정표""라며 ""야놀자는 우리가 보유한 글로벌 여행 특화 솔루션, 여행 데이터 플랫폼 역량에 씨티의 글로벌 금융 인프라를 결합해 AI 시대에 여행 산업의 혁신을 주도해 나갈 것""이라고 밝혔다.한편 이번 서밋 기간 중 연사로 나선 이준영 야놀자 엔터프라이즈 솔루션 부문 대표는 '기술로 여행의 미래를 선도하다'를 주제로 야놀자 그룹의 글로벌 AI 솔루션 현황과 고객 중심의 여행 산업 혁신 방향성을 공유했다."
"KB금융, '그룹 정보보호협의회' 개최",https://n.news.naver.com/mnews/article/014/0005490955?sid=101,"AI 시대 금융보안 리스크 선제적 대응 



[파이낸셜뉴스] KB금융그룹은 지난 12일 지주를 비롯한 11개 계열사의 정보보호 담당임원과 지주 준법감시인 최석문 부사장이 참석한 가운데, '1분기 그룹 정보보호협의회'를 개최했다고 13일 밝혔다.  '그룹 정보보호협의회'는 그룹 정보보호 운영지침에 근거하여 전략 수립, 주요 이슈에 대한 의사결정, 공동 사업 추진 등을 수행하는 그룹 정보보호 컨트롤타워 역할을 수행한다.  협의회에서는 디지털 환경 대응을 위한 △그룹 중장기 정보보호 마스터플랜 수립 방안 △사이버보안센터 운영 실적·조직체계 고도화 방안 △그룹 통합보안관제시스템 구축 등 핵심 보안 과제들이 심도 있게 논의됐다.  특히 최근 금융권의 핵심 과제로 부상한 디지털금융안전법 제정과 인공지능(AI)기본법 시행에 발맞춰 대외 법령 준수 방안을 중점적으로 점검했다. AI 서비스 확산에 따른 데이터 유출·모델 편향성 등 새로운 보안 위협에 대한 그룹 차원의 일관된 가이드라인도 마련하기로 했다.  KB금융 정보보호 조직의 가장 큰 차별점은 지주 준법감시인 산하에 운영된다는 점이다. 이를 통해 '철저한 통제와 기술의 조화'를 실현하며, 정보보호를 단순한 정보기술(IT) 기술 지원이 아닌 그룹 차원의 컴플라이언스 과제로 격상시켜 고객정보 보호의 중요성과 책임을 한층 더 강화했다.  협의회에는 지주 준법감시인이 배석해 연간 사업계획과 주요 법령 대응 전략을 함께 논의했다. 이를 통해 기술적 보안과 법률적 보호가 통합된 고도화된 보안 전략을 구축하고, 고객이 안심하고 이용할 수 있는 신뢰받는 금융의 기틀을 공고히 했다."
"iM뱅크, 대구시 등과 '대구형 상생 금융' 업무협약",https://n.news.naver.com/mnews/article/001/0015957973?sid=101,"(대구=연합뉴스) 한무선 기자 = iM뱅크는 전통시장 및 골목상권 소상공인을 위해 대구시 등과 '대구형 다(多) 함께 상생 금융 업무협약'을 했다고 13일 밝혔다.



'대구형 상생 금융' 업무협약[iM뱅크 제공. 재판매 및 DB 금지]    협약에는 iM뱅크와 대구시 외에도 대구경북지방중소벤처기업청, 소상공인시장진흥공단 대구경북지역본부, 대구신용보증재단, 대구시상인연합회가 참여했다.    협약에 따라 대구시가 소상공인시장진흥공단 정책자금에 대해서도 1년간 2.0%포인트의 이차 보전을 지원하기로 해 지역 소상공인들이 1년간 1.56% 수준의 초저금리 보증부 대출을 이용할 수 있게 됐다.    대구지역 전통시장과 골목형 상점가에 있는 온누리상품권 가맹 소기업·소상공인이 대구신용보증재단의 신용보증을 신청하면 지원 대상이 된다.    대출을 이용하려면 소상공인시장진흥공단의 융자 추천과 대구신보의 보증 승인을 받은 후 iM뱅크 지정 영업점을 방문하면 된다.    이번 협약과 관련해 iM뱅크는 초저금리 보증부 대출의 재원으로 50억원을 특별출연할 예정이다.     mshan@yna.co.kr"
