title,content,href
고양이 두마리 왜 그럴까요,"제가 고양이 한마리를 길에서 주워왔습니다 중성화도 했고(수컷) 나이는 이제 곧 8개월 됩니다 그러고 한달뒤에 파양당한 고양이를 데리고왔어요 나이는 3살이더라구여 중성화도 됐어요(암컷) 근데 우리 8개월된 애가 자꾸 요번에 3살 에 목덜이도 물고 뒷발도 물고,,자꾸 너무 장난이 심해요,,(혹시 중성화가 됐는데 발정기가 올수 있을까요?) 매번 우리 3살짜리가 하악질을 연속으로 5번도 하고 매번 으어어ㅓ엉구너ㅓㄱ억억 이런소리가 정말 일상입니다 어떻게 해야 될까요 제발 알려주세요",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=492430975&qb=6rOg7JaR7J20&enc=utf8
암컷 고양이 중성화,저희 집에 고양이 2마리를 데리고 살고 있는데 수컷은 중성화 시킨 상태고 암컷 고양이는 아직 안한 상태인데 데려온지 5년 좀 넘어가지고 계속 배변 실수를 집안 곳곳에 저질러서 얼른 중성화를 시켜야하는데 부모님이 비용이 너무 부담된다고 계속 그냥 방치식으로 대하고 있어서 제가 내년에 성인이 되서 돈 벌어서 어떻게든 시킬려하고 있는데 아무리봐도 너무 늦게 시킨다고 생각이 들어서 이 정도로 늦게하면 건강에 큰 이상이 있을까요?,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=491775588&qb=6rOg7JaR7J20&enc=utf8
"고양이 링웜 환불 소송, 법적 대응 가능할까요?","3월 8일 펫샵에서 고양이를 분양 받았습니다.아기 피부가 이상해서 물어보니 간단한 피부염이라는 안내를 받았고, 병원에 가서 1-2주간 처방받은 연고만 발라주면 금방 낫는다고 했습니다.(계약서에 피부염이라고 적혀있고 치료요망에 체크되어있음)3월 9일, 고양이를 데리고 동물병원에 가니 단순 피부염이라고 소개받은 병변이 링웜에 의한것이라는 소견을 받았습니다. 사람에게도 옮고 재발이 잦아 치료가 힘들다는 말을 듣고 바로 펫샵에 전화하여 항의했고, 펫샵은 피부염이라고 고지했으니 상관 없다고 주장합니다.그냥 저의 개인적인 생각과 주장은 고양이 피부염의 종류가 링웜만 있는것도 아니고, 사람에게 옮지 않는 피부염도 있는데 사람에게 옮을수도 있다는 특수성이 있다면 분양시 정확하게 고지를 해줬어야 한다고 생각하기 때문에 단순 피부염이라는 고지는 저를 기망하고 속인것이라 생각하고, 환불을 받고싶은 입장입니다.관련 판례가 없어서 혼자 판단하기가 너무 힘든데현재 상황에서 환불이 과한 요구일까요?환불 요청에 고소를 하든 소송을 하든 알아서 하라는 식으로 나오니까 진짜 어떻게든 소송 걸어서 해결하고싶은데…증거는 계약당시의 녹음내용은 없고 이후 전화할때 녹음한 것에서 분양당시 단순 피부염이라고만 말한것을 확인할 수 있는 대화내용만 있습니다.관련 법조항과 현재 상황에 소송으로 대처하는 것이 적절한지 조언부탁드립니다.  관련태그: 소송/집행절차, 소비자/공정거래",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492437881&qb=6rOg7JaR7J20&enc=utf8
"고양이 영화, 처음 접하는 사람에게 추천할 만한 작품이 있나요?","고양이 영화를 처음 접하는 친구에게 추천해주고 싶은 작품이 있다면 어떤 게 있을까요? 너무 무겁지 않으면서도 고양이의 매력을 잘 느낄 수 있는 영화로, 힐링이 필요할 때 가볍게 볼 수 있는 작품을 찾고 있습니다. 혹시 최근에 본 영화 중에서 이런 조건에 맞는 영화가 있다면, 그 영화의 특징이나 장점을 알려주시면 도움이 될 것 같습니다. 고양이의 사랑스러움이 잘 드러나는 장면이나, 영화가 주는 따뜻한 메시지도 함께 공유해주세요.",https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30303&docId=492399601&qb=6rOg7JaR7J20&enc=utf8
고양이 중성화 후 예민함,오늘 암컷고양이가 중성화 수술을 했는데집에 오고 나서 엄청 예민해졌어요.평소에 애교쟁이에다가 순한 아이인데 수술하고 오니 경계를 심하게 하고 혼자 성질내고 하악질도 해요ㅜㅡㅜ같이 살던 수컷고양이는 중성화수술 해도 평소와 다름없었는데 암컷은 원래 다른 걸까요?,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=492470778&qb=6rOg7JaR7J20&enc=utf8
비염이 있으면 고양이를 못키우나요,제가 알레르기성 비염이 있는데(정확히는 집먼지진드기가 원인) 비염이 있으면 고양이를 키우는 걸 추천하지 않는다는 소리가 있는데 진짜인가요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70102&docId=491713567&qb=6rOg7JaR7J20&enc=utf8
고양이알러지있는것같은데,고양이랑 같이 있으니까눈 충혈되고 간지럽고 목이 좀 붓더라고요목 부은 건 좀 거슬리는 정도인데눈은 진짜 엄청 빨개지고 너무 간지러워서;약국에서 가려움 충혈 완화하는 안약만 사도 될까요?눈 안쪽도 좀 붓는 것 같은데안과 가는게 좋을까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70401&docId=491922038&qb=6rOg7JaR7J20&enc=utf8
고양이 링웜이 사람 귀에도 옮나요?,"저희집 고양이가 링웜에 걸려 치료한지 한두달쯤 저희아이 한쪽 귀에 이상반응이 생겼습니다붉은 피부에 각질 , 가려움증으로 피부과를 갔고 단순 습진이라 해서 치료받았습니다(고양이 이야기는 안함)1~2주 약먹으면 좋아지다가 끊고 일주일 정도 지나면 다시 생겨서 그때마다 계속 피부과를 다니고 있는데 이제는 만성지루피부염이라고 했다네요다시 생길때는 작게 시작해서 번지듯이 커집니다타온약을 보면 항진균제, 스테로이드제, 면역억제제 해서 4알정도 이고바르는 약도 항진균제와 스테로이드제가 들어간약입니다제가 궁금한건 링웜이 귀에도 생길수 있나? 하는것과 진균검사를 해보고 싶은데 치료중 해도되는지.. 링웜 치료는 병변부위가 좋아지고 대략 얼마나 더 치료해야 완치되는건지 궁금합니다.시기가 겹친거와 반복적인 재발에 만의하나 있을수 있는 가능성까지 알아봅니다 ㅜㅜ",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70111&docId=491712989&qb=6rOg7JaR7J20&enc=utf8
처방전 없이 고양이 털 알레르기 약을 살수있나요?,제가 당장 내일 고양이집을 가는데 고양이 털 알레르기가 있어서 약을 사야하는데 처방전 없이 살수있나요? 어떻게 약사님에게 말을 해야할까요? 어떤약을 받아야할까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70401&docId=492038980&qb=6rOg7JaR7J20&enc=utf8
고양이 물림,아침에 고양이에게 발등을 물려서 점심에 병원가서 파상풍항생제 주사를 맞고 집에 왔는데 쿵쿵 거려서 고양이가 놀래서 이번에는 팔을 쌔게 물려서 엄청 붓고 멍이 들었는데 또 병원가서 주사를 맞아야할까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010107&docId=492253491&qb=6rOg7JaR7J20&enc=utf8
