title,content,href
"질문

				

				
				
					
					
					
						고양이 두마리 왜 그럴까요","제가 고양이 한마리를 길에서 주워왔습니다 중성화도 했고(수컷) 나이는 이제 곧 8개월 됩니다 그러고 한달뒤에 파양당한 고양이를 데리고왔어요 나이는 3살이더라구여 중성화도 됐어요(암컷) 근데 우리 8개월된 애가 자꾸 요번에 3살 에 목덜이도 물고 뒷발도 물고,,자꾸 너무 장난이 심해요,,(혹시 중성화가 됐는데 발정기가 올수 있을까요?) 매번 우리 3살짜리가 하악질을 연속으로 5번도 하고 매번 으어어ㅓ엉구너ㅓㄱ억억 이런소리가 정말 일상입니다 어떻게 해야 될까요 제발 알려주세요",https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=492430975&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						암컷 고양이 중성화",저희 집에 고양이 2마리를 데리고 살고 있는데 수컷은 중성화 시킨 상태고 암컷 고양이는 아직 안한 상태인데 데려온지 5년 좀 넘어가지고 계속 배변 실수를 집안 곳곳에 저질러서 얼른 중성화를 시켜야하는데 부모님이 비용이 너무 부담된다고 계속 그냥 방치식으로 대하고 있어서 제가 내년에 성인이 되서 돈 벌어서 어떻게든 시킬려하고 있는데 아무리봐도 너무 늦게 시킨다고 생각이 들어서 이 정도로 늦게하면 건강에 큰 이상이 있을까요?,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=491775588&qb=6rOg7JaR7J20&enc=utf8
"고양이 링웜 환불 소송, 법적 대응 가능할까요?","3월 8일 펫샵에서 고양이를 분양 받았습니다.아기 피부가 이상해서 물어보니 간단한 피부염이라는 안내를 받았고, 병원에 가서 1-2주간 처방받은 연고만 발라주면 금방 낫는다고 했습니다.(계약서에 피부염이라고 적혀있고 치료요망에 체크되어있음)3월 9일, 고양이를 데리고 동물병원에 가니 단순 피부염이라고 소개받은 병변이 링웜에 의한것이라는 소견을 받았습니다. 사람에게도 옮고 재발이 잦아 치료가 힘들다는 말을 듣고 바로 펫샵에 전화하여 항의했고, 펫샵은 피부염이라고 고지했으니 상관 없다고 주장합니다.그냥 저의 개인적인 생각과 주장은 고양이 피부염의 종류가 링웜만 있는것도 아니고, 사람에게 옮지 않는 피부염도 있는데 사람에게 옮을수도 있다는 특수성이 있다면 분양시 정확하게 고지를 해줬어야 한다고 생각하기 때문에 단순 피부염이라는 고지는 저를 기망하고 속인것이라 생각하고, 환불을 받고싶은 입장입니다.관련 판례가 없어서 혼자 판단하기가 너무 힘든데현재 상황에서 환불이 과한 요구일까요?환불 요청에 고소를 하든 소송을 하든 알아서 하라는 식으로 나오니까 진짜 어떻게든 소송 걸어서 해결하고싶은데…증거는 계약당시의 녹음내용은 없고 이후 전화할때 녹음한 것에서 분양당시 단순 피부염이라고만 말한것을 확인할 수 있는 대화내용만 있습니다.관련 법조항과 현재 상황에 소송으로 대처하는 것이 적절한지 조언부탁드립니다.  관련태그: 소송/집행절차, 소비자/공정거래",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492437881&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						고양이 영화, 처음 접하는 사람에게 추천할 만한 작품이 있나요?","고양이 영화를 처음 접하는 친구에게 추천해주고 싶은 작품이 있다면 어떤 게 있을까요? 너무 무겁지 않으면서도 고양이의 매력을 잘 느낄 수 있는 영화로, 힐링이 필요할 때 가볍게 볼 수 있는 작품을 찾고 있습니다. 혹시 최근에 본 영화 중에서 이런 조건에 맞는 영화가 있다면, 그 영화의 특징이나 장점을 알려주시면 도움이 될 것 같습니다. 고양이의 사랑스러움이 잘 드러나는 장면이나, 영화가 주는 따뜻한 메시지도 함께 공유해주세요.",https://kin.naver.com/qna/detail.naver?d1id=3&dirId=30303&docId=492399601&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						고양이 링웜이 사람 귀에도 옮나요?","저희집 고양이가 링웜에 걸려 치료한지 한두달쯤 저희아이 한쪽 귀에 이상반응이 생겼습니다붉은 피부에 각질 , 가려움증으로 피부과를 갔고 단순 습진이라 해서 치료받았습니다(고양이 이야기는 안함)1~2주 약먹으면 좋아지다가 끊고 일주일 정도 지나면 다시 생겨서 그때마다 계속 피부과를 다니고 있는데 이제는 만성지루피부염이라고 했다네요다시 생길때는 작게 시작해서 번지듯이 커집니다타온약을 보면 항진균제, 스테로이드제, 면역억제제 해서 4알정도 이고바르는 약도 항진균제와 스테로이드제가 들어간약입니다제가 궁금한건 링웜이 귀에도 생길수 있나? 하는것과 진균검사를 해보고 싶은데 치료중 해도되는지.. 링웜 치료는 병변부위가 좋아지고 대략 얼마나 더 치료해야 완치되는건지 궁금합니다.시기가 겹친거와 반복적인 재발에 만의하나 있을수 있는 가능성까지 알아봅니다 ㅜㅜ",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70111&docId=491712989&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						고양이 알레르기 증상",제가 고양이를 키운지 4일차인데 첫번째 왔을때 제 방에 고양이 용품을 다 두고 고양이랑 문닫고 있었더니 코막히고 콧물나고 눈 빨개지고 간지럽고 심해서 다음날부터 고양이를 밖에두고 용품도 다 밖에 두니까 괜찮아진거같은데 이거 알러지 맞나요? 지금도 고양이랑 이ㅛ으면 기침나고 목이 쫌 칼칼한거 같긴해요 계속 키워도 될까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70115&docId=490247127&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						고양이 특발성 발작 질문",3살 먼치킨 고양이 입니다 다른 병은 없고 건강해요발작은 총 4번 정도 일어났는데요이게 기간이 2개월 텀으로 일어나고 발작 시간은 1분정도 있니다 발작하면서 스프레이 형식으로 소변 흐르구요 발작 하기전에 흥분하거나 스트레스 일어날만한 상황은 전혀 아니였구요 항상 자던 곳에서 자다가 갑자기 벌떡 일어나서는 발작 일으켜요 처음에 발작하고 병원에 갔을 때 영상이 없어서 그냥 특발성 발작일 확률이 크다 정도만 말씀해주시고 가라고 하더라구요 큰 병원 가서 mri 찍어봐야 할까요? 발작 당시 영상 일부 입니다,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=491394208&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						고양이 비닐먹고 구토 응급실 가야하나요?",고양이가 오늘 새벽에 구토 2번 했는데 비닐이 나왔어요작은 과자 봉지 끝부분을 먹은거 같아요2번 구토했을때 비닐이 2번 나오고 아침에 밥 먹고 물 먹고 화장실 (오줌인지 똥인지 모르지만)가고 만져달라고 골골 거려서 일단 출근했는데아무래도 걱정이돼서13:47에 또 밥을 먹었더라구요퇴근하고 와서 오늘 똥 싼거 확인했고 19:20에 또 밥 먹었어요만져달라고 골골 거리다가 휙 가버렸어요혹시라도 남아있거나 그럴까봐 걱정이예요이제 8개월정도 됐구요 남자 중성화했어요고양이에 대해 자세히 몰라서 걱정입니다ㅜ..공놀이도 하고 컨디션은 좋아보여요,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=492406476&qb=6rOg7JaR7J20&enc=utf8
고양이카페 물림사고 발생 시 법적 책임은?,"고양이카페 운영중 물림사고가 발생하여 저희쪽에 병원비, 급여(일을 못한다고함) 등을 요구하고 있습니다. 카페 시설 내부에는 '고양이할큄,물림'등에 대한 책임이 없음을 안내하는 안내판이 곳곳에 설치되어 있으면 추가로도 입장시 안내문을 별도로도 제공하고 있습니다상대측에서 민사 소송을 거는 경우 저희쪽 과실이 인정되나요? 카페 특성상 물리는 경우가 자주 발생하나 소독정도 해드리면 별 문제가 없었습니다  관련태그: 기타 재산범죄, 손해배상",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=491567151&qb=6rOg7JaR7J20&enc=utf8
"질문

				

				
				
					
					
					
						히스타민 알레르기가 있는 사람이 고양이를 키워도 될까요?","고양이를 키우고 싶지만, 히스타민 알레르기가 있는 저에게 괜찮은지 궁금해요. 알레르기가 심해지면 어떤 증상이 나타날 수 있는지, 고양이를 키울 때 주의해야 할 점이 많을까 걱정이 됩니다. 이럴 때 어떤 환경이 도움이 될까요? 알레르기 반응을 줄이기 위한 방법이 있다면 알아보고 싶어요. 고양이를 키우면 평소에 어떤 관리나 식습관을 가져야 하는지도 궁금해요.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70101&docId=491277134&qb=6rOg7JaR7J20&enc=utf8
