식품명,탄수화물(g),단백질(g),지방(g),나트륨(mg),총칼로리(kcal)
치킨데리야끼,58.00,16.54,9.01,267.000,208.000
무초절임(치킨무),95.40,0.52,0.30,189.000,17.00
리소토/리조또_치킨 크림 리조또,0,6.22,0,217.000,185.000
도넛_올드훼션드먼치킨,0,3.57,25.71,214.000,471.000
도넛_레드벨벳 먼치킨 도넛,0,3.57,27.14,193.000,486.000
도넛_바바리안 먼치킨 도넛,0,6.00,20.00,520.000,400.000
도넛_스트로베리 먼치킨 도넛,0,5.00,18.00,550.000,380.000
도넛_카카오하니딥먼치킨 도넛,0,4.62,15.38,654.000,369.000
도넛_바바리안 먼치킨,0,6.00,0,520.000,400.000
도넛_스트로베리 먼치킨,0,5.00,0,550.000,380.000
도넛_오리지널 케이크 먼치킨,0,5.00,0,500.000,375.000
도넛_카카오하니딥 먼치킨,0,4.62,0,654.000,423.000
또띠아_머스타드치킨 브리또,0,11.05,0,448.000,244.000
또띠아_바삭 불고기&트리플 치즈 치킨 퀘사디아,0,13.89,0,497.000,218.000
또띠아_치킨 치즈 브리또,0,11.49,11.49,382.000,259.000
또띠아_핫치킨 브리또,0,11.00,8.00,481.000,228.000
또띠아_핫치킨 브리또,0,11.25,7.50,356.000,244.000
또띠아_핫칠리치킨 브리또,0,15.00,0,218.000,214.000
또띠아_치킨 브리또,0,9.66,0,430.000,220.000
또띠아_매콤치킨랩,0,8.00,0,352.000,166.000
또띠아_싱그러운치킨텐더그린랩,0,7.04,0,293.000,185.000
또띠아_바삭 불고기 & 트리플 치즈 치킨 퀘사디아,0,11.05,0,551.000,245.000
또띠아_핫치킨 부리또,0,9.82,9.20,571.000,257.000
또띠아_핫치킨 브리또,0,11.25,0,356.000,248.000
또띠아_핫칠리치킨 브리또,0,15.00,0,218.000,214.000
버거_내슈빌핫치킨 버거,0,11.24,0,598.000,251.000
버거_롱치킨 버거,0,11.27,0,600.000,301.000
버거_맥치킨 버거,0,10.19,13.59,526.000,254.000
버거_맥치킨모짜렐라 버거,0,10.58,12.29,595.000,254.000
버거_바비큐킹치킨 버거,0,11.31,0,465.000,278.000
버거_불고기롱치킨 버거,0,10.34,0,548.000,260.000
버거_스리라차치킨 버거,0,11.47,11.01,517.000,239.000
버거_양념치킨싸이 버거,0,11.15,0,491.000,253.000
버거_치킨몬스터 버거,0,8.68,0,476.000,251.000
버거_치킨 버거,0,10.64,0,439.000,252.000
버거_치킨스테이크 버거,0,8.00,0,351.000,199.000
버거_코울슬로치킨 버거,0,11.01,13.76,608.000,255.000
버거_킹치킨 버거,0,11.24,0,401.000,299.000
버거_텍사스바비큐치킨 버거,0,11.58,0,498.000,211.000
버거_페퍼로니치킨 버거,0,11.64,0,606.000,255.000
버거_해쉬브라운&치킨 버거,0,6.42,0,402.000,284.000
버거_갈릭바베큐치킨 버거,0,11.15,12.68,432.000,232.000
버거_골든맥앤치즈치킨 버거,0,10.03,9.10,405.000,217.000
버거_더블 치킨 버거,0,11.71,0,463.000,233.000
버거_바비큐치킨 버거,0,11.31,0,465.000,278.000
버거_BBQ 치킨 버거,0,11.42,0,677.000,245.000
버거_스파이시치킨 스낵랩,0,10.71,15.18,725.000,271.000
버거_창녕갈릭치킨 버거,0,8.39,11.74,452.000,232.000
버거_치킨 버거,0,10.11,0,478.000,302.000
버거_치킨킹버거,0,10.80,0,463.000,300.000
버거_치킨킹BLT 버거,0,9.36,0,396.000,275.000
버거_치플레핫치킨 버거,0,9.23,12.31,588.000,234.000
버거_페퍼로니피자 치킨 버거,0,12.15,13.77,634.000,240.000
버거_더블 치킨버거,0,11.79,0,463.000,233.000
버거_치킨버거,0,10.81,0,440.000,252.000
버거_치킨버거,0,10.06,0,469.000,297.000
버거_치킨킹,0,10.71,0,463.000,300.000
버거_치킨킹BLT,0,9.29,0,396.000,275.000
버거_치폴레 핫 치킨,0,9.23,0,588.000,234.000
버거_코울슬로 치킨,0,12.39,0,600.000,243.000
버거_크리스퍼 마늘치킨,0,9.81,0,619.000,259.000
버거_크리스피치킨버거,0,13.58,0,569.000,296.000
